Q_5,Q_1,Q_2_5,Q_0_5,CTE_5,CTE_2_5,CTE_1,CTE_0_5,Q_95,Q_97_5,Q_99,Q_99_5,CTE_95,CTE_97_5,CTE_99,CTE_99_5,FIGARCH d,Stable_alpha,Stable_gamma,Variance,Skewness,Kurtosis,ACF Lag 1,Hurst,Name,Type,Symbol
-0.125775697,-0.23512614,-0.158412718,-0.283465743,-0.190852949,-0.239744453,-0.333895912,-0.422971761,0.13471723,0.175469105,0.265525477,0.340335556,0.211213673,0.262572801,0.344120474,0.40148417,0.488350347,1.624975857,0.043451091,0.007333385,0.163695186,8.904429761,-0.010271992,0.564591491,0x,1.Crypto,ZRX
-2.09E-01,-0.553039883,-3.07E-01,-0.70087399,-0.405603886,-0.558208375,-0.803576749,-0.951316027,0.217449975,0.33612846,0.503650018,7.77E-01,4.48E-01,0.63437318,0.961559401,1.26E+00,0.346438875,1.352157992,6.05E-02,3.40E-02,2.611255848,50.08498135,-2.78E-01,0.448907395,42-coin,1.Crypto,42
-0.259746958,-0.502676405,-3.56E-01,-0.596822818,-0.392558984,-0.484383879,-0.601829771,-0.652750462,0.271029691,0.37254267,0.55873453,0.651060789,0.435854494,0.553819632,0.701114974,0.826167308,0.999999986,1.546487763,0.08443193,0.030170734,0.481330058,7.478634274,-1.60E-01,0.574434809,ALQO,1.Crypto,XLQ
-0.241241841,-0.455665166,-0.335172658,-0.545683346,-0.382062477,-0.487965423,-0.621403911,-0.764682613,0.283740906,0.359291964,0.539911016,0.64173641,0.420964542,0.532658915,0.70915989,8.20E-01,0.31702685,1.508925475,0.079164815,0.029010523,0.462848318,9.499342756,-2.84E-01,0.503044838,ATLANT,1.Crypto,ATL
-0.158148654,-0.272096321,-0.212236426,-0.447008534,-0.273878711,-0.369269597,-0.580857999,-0.83110306,0.155233315,0.226782246,0.351862363,4.16E-01,0.264279635,0.350937503,0.477492113,0.578581865,7.36E-01,1.30415928,0.037607411,0.013568529,-2.422829228,46.41958694,0.008663881,0.586028802,Achain,1.Crypto,ACT
-0.161066876,-0.282498956,-0.217079891,-0.385037167,-0.250621906,-0.315718033,-0.412639931,-0.523186685,0.142024006,0.209671906,0.418486055,5.16E-01,2.96E-01,0.43541739,0.632670204,0.855666329,1.22E-01,1.468255635,0.046483852,1.40E-02,2.260113335,28.996013,-0.124712143,0.540772633,AdEx Network,1.Crypto,ADX
-0.628496763,-1.243692382,-0.858552326,-1.654676155,-1.007914068,-1.27785952,-1.657317119,-1.954364953,0.65486158,0.930981638,1.372704968,1.655583181,1.07E+00,1.385065263,1.727548065,1.92E+00,0.399111265,0.882247107,0.095641731,1.62E-01,0.196778836,10.36197676,-3.15E-01,0.35537881,Advanced Internet Blo,1.Crypto,AIB
-0.183769535,-0.334354766,-2.40E-01,-0.391335188,-0.268925455,-0.325736266,-0.415802243,-0.469081304,0.213476594,0.284631233,0.431966274,0.574196519,0.358206798,0.466895719,0.65739559,0.804668147,0.223919322,1.407382817,0.054782885,0.017647608,1.788795319,18.75693186,-0.148362685,0.539811142,Aeon,1.Crypto,AEON
-0.152697855,-0.307269343,-0.199750229,-0.528477704,-0.292163468,-0.41156084,-0.674517639,-1.00557043,0.14995815,0.203623394,0.309501787,0.439106793,0.255091352,0.341693222,0.470571662,0.600353003,0.519844703,1.227838456,0.034893754,0.014526337,-2.93198485,44.56863503,-0.135727072,0.596519333,Aeternity,1.Crypto,AE
-0.197843923,-0.497123238,-0.266621098,-0.579058276,-0.365334108,-0.50215649,-0.714322244,-0.88475634,0.204838164,0.308687708,0.556543888,0.67769678,0.404619174,0.562097487,0.761452951,0.908623774,0.999999336,1.328486306,0.055363256,0.025313368,-0.287067862,23.0394786,-0.187309971,0.463425159,Agoras Tokens,1.Crypto,AGRS
-0.152410583,-0.293785426,-0.183856484,-0.398050981,-0.237305625,-0.313759549,-0.451983601,-0.580435771,0.161586982,0.218045627,0.323311323,0.394676964,0.258592715,0.336059905,0.443793991,0.539037333,0.832850137,1.435885229,0.04493683,0.011183869,0.111167838,13.68390031,-0.074022023,0.530293132,Agrello,1.Crypto,DLT
-0.175451447,-0.327358728,-0.235576893,-0.373739688,-0.286762051,-0.370862572,-0.511467856,-0.677835879,0.184908807,0.256968646,0.439952678,0.861292697,0.398236552,0.57901399,0.930797149,1.17E+00,0.154390777,1.404946739,0.051312904,0.022699067,2.202951147,32.22824488,-1.64E-01,0.543264266,Aidos Kuneen,1.Crypto,ADK
